type,id,name,campus,district,county,overall,overall_score,1_achievement,1_achievement_score,2_progress,2_progress_score,3_gaps,3_gaps_score,student_pop,esc_region,region,perc_econ_disadvantage,type_detail,absolute_url
district,1902.0,CAYUGA ISD,,Cayuga ISD,Anderson,A,94,A,93,A,92,A,96,564,7,REGION 07: KILGORE,42.6%,District,/districts/cayuga-isd/
campus,1902001.0,CAYUGA H S,CAYUGA H S,Cayuga ISD,Anderson,A,95,A,93,A,90,A,100,179,7,REGION 07: KILGORE,39.1%,High School,/districts/cayuga-isd/cayuga-high-school/
campus,1902041.0,CAYUGA MIDDLE,CAYUGA MIDDLE,Cayuga ISD,Anderson,B,83,B,85,C,79,C,79,119,7,REGION 07: KILGORE,35.3%,Middle School,/districts/cayuga-isd/cayuga-middle-school/
campus,1902103.0,CAYUGA EL,CAYUGA EL,Cayuga ISD,Anderson,A,91,A,90,B,87,A,94,266,7,REGION 07: KILGORE,48.1%,Elementary,/districts/cayuga-isd/cayuga-elementary-school/
district,1903.0,ELKHART ISD,,Elkhart ISD,Anderson,A,90,A,92,A,91,B,85,"1,254",7,REGION 07: KILGORE,58.1%,District,/districts/elkhart-isd/
campus,1903001.0,ELKHART H S,ELKHART H S,Elkhart ISD,Anderson,B,89,A,91,B,86,B,83,376,7,REGION 07: KILGORE,49.7%,High School,/districts/elkhart-isd/elkhart-high-school/
campus,1903002.0,ELKHART DAEP,ELKHART DAEP,Elkhart ISD,Anderson,Not rated,.,Not rated,.,Not rated,.,Not rated,.,2,7,REGION 07: KILGORE,100.0%,High School,
campus,1903041.0,ELKHART MIDDLE,ELKHART MIDDLE,Elkhart ISD,Anderson,B,86,B,84,B,87,B,85,261,7,REGION 07: KILGORE,56.7%,Middle School,/districts/elkhart-isd/elkhart-middle-school/
campus,1903101.0,ELKHART EL,ELKHART EL,Elkhart ISD,Anderson,A,92,Not rated,.,Not rated,.,Not rated,.,338,7,REGION 07: KILGORE,69.8%,Elementary,/districts/elkhart-isd/elkhart-elementary-school/
campus,1903102.0,ELKHART INT,ELKHART INT,Elkhart ISD,Anderson,A,92,B,88,A,91,A,94,277,7,REGION 07: KILGORE,56.0%,Elementary,/districts/elkhart-isd/elkhart-int/
district,1904.0,FRANKSTON ISD,,Frankston ISD,Anderson,B,89,A,91,A,91,B,84,803,7,REGION 07: KILGORE,53.7%,District,/districts/frankston-isd/
campus,1904001.0,FRANKSTON H S,FRANKSTON H S,Frankston ISD,Anderson,B,86,B,89,B,85,C,79,228,7,REGION 07: KILGORE,43.4%,High School,/districts/frankston-isd/frankston-high-school/
campus,1904041.0,FRANKSTON MIDDLE,FRANKSTON MIDDLE,Frankston ISD,Anderson,B,84,B,85,B,86,B,80,194,7,REGION 07: KILGORE,50.5%,Middle School,/districts/frankston-isd/frankston-middle-school/
campus,1904102.0,FRANKSTON EL,FRANKSTON EL,Frankston ISD,Anderson,C,78,C,78,B,82,C,70,381,7,REGION 07: KILGORE,61.4%,Elementary,/districts/frankston-isd/frankston-elementary-school/
district,1906.0,NECHES ISD,,Neches ISD,Anderson,A,91,A,93,A,93,B,86,366,7,REGION 07: KILGORE,47.8%,District,/districts/neches-isd/
campus,1906002.0,NECHES H S,NECHES H S,Neches ISD,Anderson,A,96,A,96,A,93,Not rated,.,107,7,REGION 07: KILGORE,37.4%,High School,/districts/neches-isd/neches-high-school/
campus,1906102.0,NECHES EL,NECHES EL,Neches ISD,Anderson,C,77,C,78,C,79,C,73,259,7,REGION 07: KILGORE,52.1%,Elementary,/districts/neches-isd/neches-elementary-school/
district,1907.0,PALESTINE ISD,,Palestine ISD,Anderson,B,87,B,86,A,91,C,79,"3,389",7,REGION 07: KILGORE,74.9%,District,/districts/palestine-isd/
campus,1907001.0,PALESTINE H S,PALESTINE H S,Palestine ISD,Anderson,B,85,B,87,B,87,B,80,984,7,REGION 07: KILGORE,64.4%,High School,/districts/palestine-isd/palestine-high-school/
campus,1907041.0,PALESTINE J H,PALESTINE J H,Palestine ISD,Anderson,B,85,C,75,B,86,B,82,519,7,REGION 07: KILGORE,74.0%,Middle School,/districts/palestine-isd/palestine-middle-school/
campus,1907101.0,NORTHSIDE PRI,NORTHSIDE PRI,Palestine ISD,Anderson,B,82,Not rated,.,Not rated,.,Not rated,.,494,7,REGION 07: KILGORE,79.6%,Elementary,/districts/palestine-isd/northside-primary-school/
campus,1907102.0,WASHINGTON EARLY CHILDHOOD CENTER,WASHINGTON EARLY CHILDHOOD CENTER,Palestine ISD,Anderson,B,82,Not rated,.,Not rated,.,Not rated,.,174,7,REGION 07: KILGORE,100.0%,Elementary,/districts/palestine-isd/washington-early-childhood-center/
campus,1907107.0,SOUTHSIDE EL,SOUTHSIDE EL,Palestine ISD,Anderson,B,82,C,77,B,84,C,78,462,7,REGION 07: KILGORE,77.5%,Elementary,/districts/palestine-isd/southside-elementary-school/
campus,1907110.0,STORY INT,STORY INT,Palestine ISD,Anderson,D,67,D,67,C,70,D,60,756,7,REGION 07: KILGORE,79.0%,Elementary,/districts/palestine-isd/story-intermediate-school/
district,1908.0,WESTWOOD ISD,,Westwood ISD,Anderson,B,81,B,83,B,85,C,73,"1,518",7,REGION 07: KILGORE,61.5%,District,/districts/westwood-isd/
campus,1908002.0,WESTWOOD H S,WESTWOOD H S,Westwood ISD,Anderson,B,83,B,85,B,81,C,77,418,7,REGION 07: KILGORE,44.7%,High School,/districts/westwood-isd/westwood-high-school/
campus,1908041.0,WESTWOOD J H,WESTWOOD J H,Westwood ISD,Anderson,C,78,C,70,C,79,C,75,237,7,REGION 07: KILGORE,57.0%,Middle School,/districts/westwood-isd/westwood-junior-high-school/
campus,1908101.0,WESTWOOD EL,WESTWOOD EL,Westwood ISD,Anderson,F,58,D,62,F,59,F,48,447,7,REGION 07: KILGORE,67.8%,Elementary,/districts/westwood-isd/westwood-elementary-school/
campus,1908102.0,WESTWOOD PRI,WESTWOOD PRI,Westwood ISD,Anderson,F,58,Not rated,.,Not rated,.,Not rated,.,416,7,REGION 07: KILGORE,74.0%,Elementary,/districts/westwood-isd/westwood-primary-school/
district,1909.0,SLOCUM ISD,,Slocum ISD,Anderson,A,91,A,93,A,92,B,87,406,7,REGION 07: KILGORE,45.8%,District,/districts/slocum-isd/
campus,1909001.0,SLOCUM H S,SLOCUM H S,Slocum ISD,Anderson,A,91,A,93,B,89,B,85,115,7,REGION 07: KILGORE,42.6%,High School,/districts/slocum-isd/slocum-high-school/
campus,1909101.0,SLOCUM PK - 8,SLOCUM PK - 8,Slocum ISD,Anderson,B,82,B,83,B,81,C,79,291,7,REGION 07: KILGORE,47.1%,Elementary,/districts/slocum-isd/slocum-pk-8/
district,2901.0,ANDREWS ISD,,Andrews ISD,Andrews,C,79,B,81,C,73,C,74,"4,314",18,REGION 18: MIDLAND,41.0%,District,/districts/andrews-isd/
campus,2901001.0,ANDREWS H S,ANDREWS H S,Andrews ISD,Andrews,B,83,B,85,B,80,C,77,"1,143",18,REGION 18: MIDLAND,36.0%,High School,/districts/andrews-isd/andrews-high-school/
campus,2901002.0,ANDREWS EDUCATION CENTER,ANDREWS EDUCATION CENTER,Andrews ISD,Andrews,C,74,C,74,Not rated,.,Not rated,.,41,18,REGION 18: MIDLAND,56.1%,High School,/districts/andrews-isd/andrews-education-center/
campus,2901041.0,ANDREWS MIDDLE,ANDREWS MIDDLE,Andrews ISD,Andrews,C,70,C,74,D,69,D,60,"1,026",18,REGION 18: MIDLAND,39.9%,Middle School,/districts/andrews-isd/andrews-middle-school/
campus,2901101.0,DEVONIAN EL,DEVONIAN EL,Andrews ISD,Andrews,C,78,C,78,C,72,C,77,609,18,REGION 18: MIDLAND,41.7%,Elementary,/districts/andrews-isd/devonian-elementary-school/
campus,2901104.0,UNDERWOOD EL,UNDERWOOD EL,Andrews ISD,Andrews,D,68,C,72,D,67,D,60,674,18,REGION 18: MIDLAND,41.1%,Elementary,/districts/andrews-isd/underwood-elementary-school/
campus,2901105.0,CLEARFORK EL,CLEARFORK EL,Andrews ISD,Andrews,C,78,Not rated,.,Not rated,.,Not rated,.,821,18,REGION 18: MIDLAND,47.7%,Elementary,/districts/andrews-isd/clearfork-elementary-school/
district,3801.0,PINEYWOODS COMMUNITY ACADEMY,,Pineywoods Community Academy,Angelina,A,90,A,92,A,91,B,85,"1,022",7,REGION 07: KILGORE,51.0%,District,/districts/pineywoods-community-academy/
campus,3801001.0,PINEYWOODS COMMUNITY ACADEMY H S,PINEYWOODS COMMUNITY ACADEMY H S,Pineywoods Community Academy,Angelina,A,93,A,94,A,93,A,90,251,7,REGION 07: KILGORE,37.1%,High School,/districts/pineywoods-community-academy/pineywoods-community-academy-high-school/
campus,3801042.0,DR TERRY ROBBINS MIDDLE,DR TERRY ROBBINS MIDDLE,Pineywoods Community Academy,Angelina,C,79,C,79,B,80,C,75,257,7,REGION 07: KILGORE,52.9%,Middle School,/districts/pineywoods-community-academy/dr-terry-robbins-middle/
campus,3801103.0,SARAH STRINDEN EL,SARAH STRINDEN EL,Pineywoods Community Academy,Angelina,A,90,A,90,B,89,A,90,514,7,REGION 07: KILGORE,56.8%,Elementary,/districts/pineywoods-community-academy/pineywoods-community-academy-elementary-school/
district,3902.0,HUDSON ISD,,Hudson ISD,Angelina,B,89,B,89,A,93,B,87,"2,957",7,REGION 07: KILGORE,54.4%,District,/districts/hudson-isd/
campus,3902001.0,HUDSON H S,HUDSON H S,Hudson ISD,Angelina,A,92,A,94,A,92,B,87,838,7,REGION 07: KILGORE,47.4%,High School,/districts/hudson-isd/hudson-high-school/
campus,3902004.0,STUBBLEFIELD LRN CTR,STUBBLEFIELD LRN CTR,Hudson ISD,Angelina,D,64,D,64,Not rated,.,Not rated,.,14,7,REGION 07: KILGORE,71.4%,High School,/districts/hudson-isd/stubblefield-learning-center/
campus,3902041.0,HUDSON MIDDLE,HUDSON MIDDLE,Hudson ISD,Angelina,B,89,A,91,A,91,B,85,706,7,REGION 07: KILGORE,53.5%,Middle School,/districts/hudson-isd/hudson-middle-school/
campus,3902101.0,W F PEAVY PRI,W F PEAVY PRI,Hudson ISD,Angelina,B,81,Not rated,.,Not rated,.,Not rated,.,758,7,REGION 07: KILGORE,61.3%,Elementary,/districts/hudson-isd/wf-peavy-primary-school/
campus,3902102.0,W H BONNER EL,W H BONNER EL,Hudson ISD,Angelina,B,81,B,80,B,82,C,78,641,7,REGION 07: KILGORE,56.0%,Elementary,/districts/hudson-isd/wh-bonner-elementary/
district,3903.0,LUFKIN ISD,,Lufkin ISD,Angelina,B,89,B,85,A,92,B,83,"7,827",7,REGION 07: KILGORE,77.2%,District,/districts/lufkin-isd/
campus,3903001.0,LUFKIN H S,LUFKIN H S,Lufkin ISD,Angelina,B,87,B,87,A,91,C,78,"2,132",7,REGION 07: KILGORE,67.5%,High School,/districts/lufkin-isd/lufkin-high-school/
campus,3903004.0,STUBBLEFIELD LRN CTR,STUBBLEFIELD LRN CTR,Lufkin ISD,Angelina,C,73,C,73,Not rated,.,Not rated,.,39,7,REGION 07: KILGORE,82.1%,High School,/districts/lufkin-isd/stubblefield-learning-center/
campus,3903044.0,LUFKIN MIDDLE,LUFKIN MIDDLE,Lufkin ISD,Angelina,B,83,C,78,B,87,C,75,"1,715",7,REGION 07: KILGORE,73.6%,Middle School,/districts/lufkin-isd/lufkin-middle-school/
campus,3903120.0,ANDERSON EL,ANDERSON EL,Lufkin ISD,Angelina,B,84,C,76,B,86,C,78,258,7,REGION 07: KILGORE,84.9%,Elementary,/districts/lufkin-isd/anderson-elementary-school/
campus,3903121.0,BRANDON EL,BRANDON EL,Lufkin ISD,Angelina,B,87,C,77,B,88,B,83,407,7,REGION 07: KILGORE,68.6%,Elementary,/districts/lufkin-isd/brandon-elementary-school/
campus,3903122.0,BROOKHOLLOW EL,BROOKHOLLOW EL,Lufkin ISD,Angelina,C,73,D,67,C,73,C,72,300,7,REGION 07: KILGORE,86.3%,Elementary,/districts/lufkin-isd/brookhollow-elementary-school/
campus,3903123.0,COSTON EL,COSTON EL,Lufkin ISD,Angelina,B,86,C,73,A,90,C,78,239,7,REGION 07: KILGORE,92.1%,Elementary,/districts/lufkin-isd/coston-elementary-school/
campus,3903124.0,DUNBAR PRI,DUNBAR PRI,Lufkin ISD,Angelina,B,87,Not rated,.,Not rated,.,Not rated,.,361,7,REGION 07: KILGORE,60.9%,Elementary,/districts/lufkin-isd/dunbar-primary-school/
campus,3903125.0,GARRETT PRI,GARRETT PRI,Lufkin ISD,Angelina,B,89,Not rated,.,Not rated,.,Not rated,.,347,7,REGION 07: KILGORE,97.4%,Elementary,/districts/lufkin-isd/garrett-primary-school/
campus,3903126.0,HACKNEY PRI,HACKNEY PRI,Lufkin ISD,Angelina,B,89,Not rated,.,Not rated,.,Not rated,.,227,7,REGION 07: KILGORE,99.1%,Elementary,/districts/lufkin-isd/hackney-primary-school/
campus,3903127.0,HERTY PRI,HERTY PRI,Lufkin ISD,Angelina,B,86,Not rated,.,Not rated,.,Not rated,.,269,7,REGION 07: KILGORE,89.2%,Elementary,/districts/lufkin-isd/herty-primary-school/
campus,3903128.0,KURTH PRI,KURTH PRI,Lufkin ISD,Angelina,B,84,Not rated,.,Not rated,.,Not rated,.,296,7,REGION 07: KILGORE,87.2%,Elementary,/districts/lufkin-isd/kurth-primary-school/
campus,3903129.0,SLACK EL,SLACK EL,Lufkin ISD,Angelina,C,78,C,71,C,79,C,77,551,7,REGION 07: KILGORE,84.4%,Elementary,/districts/lufkin-isd/slack-elementary-school/
campus,3903130.0,TROUT PRI,TROUT PRI,Lufkin ISD,Angelina,C,73,Not rated,.,Not rated,.,Not rated,.,276,7,REGION 07: KILGORE,90.2%,Elementary,/districts/lufkin-isd/trout-primary-school/
campus,3903131.0,BURLEY PRI,BURLEY PRI,Lufkin ISD,Angelina,C,78,Not rated,.,Not rated,.,Not rated,.,400,7,REGION 07: KILGORE,81.8%,Elementary,/districts/lufkin-isd/burley-primary-school/
campus,3903141.0,SPECIAL SERVICES,SPECIAL SERVICES,Lufkin ISD,Angelina,Not rated,.,Not rated,.,Not rated,.,Not rated,.,3,7,REGION 07: KILGORE,33.3%,Elementary,/districts/lufkin-isd/special-services/
campus,3903201.0,JUVENILE DETENT CTR,JUVENILE DETENT CTR,Lufkin ISD,Angelina,Not rated,.,Not rated,.,Not rated,.,Not rated,.,7,7,REGION 07: KILGORE,100.0%,Elem/Secondary,/districts/lufkin-isd/juvenile-detention-center/
district,3904.0,HUNTINGTON ISD,,Huntington ISD,Angelina,B,89,B,87,A,90,B,87,"1,659",7,REGION 07: KILGORE,56.0%,District,/districts/huntington-isd/
campus,3904001.0,HUNTINGTON H S,HUNTINGTON H S,Huntington ISD,Angelina,B,88,B,89,B,88,B,85,515,7,REGION 07: KILGORE,46.2%,High School,/districts/huntington-isd/huntington-high-school/
campus,3904005.0,PRIDE ALTER SCH,PRIDE ALTER SCH,Huntington ISD,Angelina,C,75,C,75,Not rated,.,Not rated,.,15,7,REGION 07: KILGORE,66.7%,High School,/districts/huntington-isd/huntington-pride-school/
campus,3904041.0,HUNTINGTON MIDDLE,HUNTINGTON MIDDLE,Huntington ISD,Angelina,B,86,B,81,B,84,B,89,397,7,REGION 07: KILGORE,57.4%,Middle School,/districts/huntington-isd/huntington-middle-school/
campus,3904101.0,HUNTINGTON EL,HUNTINGTON EL,Huntington ISD,Angelina,C,71,C,74,C,75,D,62,488,7,REGION 07: KILGORE,62.3%,Elementary,/districts/huntington-isd/huntington-elementary-school/
campus,3904102.0,HUNTINGTON INT,HUNTINGTON INT,Huntington ISD,Angelina,B,81,C,76,C,79,B,84,244,7,REGION 07: KILGORE,61.1%,Elementary,/districts/huntington-isd/huntington-intermediate-school/
district,3905.0,DIBOLL ISD,,Diboll ISD,Angelina,B,87,B,87,A,91,C,78,"1,870",7,REGION 07: KILGORE,78.9%,District,/districts/diboll-isd/
campus,3905001.0,DIBOLL H S,DIBOLL H S,Diboll ISD,Angelina,B,85,B,88,B,88,C,77,499,7,REGION 07: KILGORE,70.7%,High School,/districts/diboll-isd/diboll-high-school/
campus,3905004.0,STUBBLEFIELD LRN CTR,STUBBLEFIELD LRN CTR,Diboll ISD,Angelina,Not rated,.,Not rated,.,Not rated,.,Not rated,.,6,7,REGION 07: KILGORE,0.0%,High School,/districts/diboll-isd/stubblefield-learning-center/
campus,3905041.0,DIBOLL J H,DIBOLL J H,Diboll ISD,Angelina,B,83,C,78,B,87,C,75,429,7,REGION 07: KILGORE,74.6%,Middle School,/districts/diboll-isd/diboll-junior-high-school/
campus,3905101.0,H G TEMPLE EL,H G TEMPLE EL,Diboll ISD,Angelina,B,81,Not rated,.,Not rated,.,Not rated,.,382,7,REGION 07: KILGORE,84.3%,Elementary,/districts/diboll-isd/temple-elementary-school/
campus,3905102.0,DIBOLL PRI,DIBOLL PRI,Diboll ISD,Angelina,B,81,Not rated,.,Not rated,.,Not rated,.,165,7,REGION 07: KILGORE,98.8%,Elementary,/districts/diboll-isd/diboll-primary-school/
campus,3905103.0,H G TEMPLE INT,H G TEMPLE INT,Diboll ISD,Angelina,B,81,C,72,B,83,C,76,389,7,REGION 07: KILGORE,81.5%,Elementary,/districts/diboll-isd/h-g-temple-int/
district,3906.0,ZAVALLA ISD,,Zavalla ISD,Angelina,B,85,B,86,A,90,C,73,360,7,REGION 07: KILGORE,67.5%,District,/districts/zavalla-isd/
campus,3906001.0,ZAVALLA H S,ZAVALLA H S,Zavalla ISD,Angelina,B,82,B,85,B,85,C,74,190,7,REGION 07: KILGORE,63.2%,Elem/Secondary,/districts/zavalla-isd/zavalla-high-school/
campus,3906101.0,ZAVALLA EL,ZAVALLA EL,Zavalla ISD,Angelina,C,76,C,74,B,80,D,68,170,7,REGION 07: KILGORE,72.4%,Elementary,/districts/zavalla-isd/zavalla-elementary-school/
district,3907.0,CENTRAL ISD,,Central ISD,Angelina,B,89,B,88,B,89,B,88,"1,465",7,REGION 07: KILGORE,59.0%,District,/districts/central-isd/
campus,3907001.0,CENTRAL H S,CENTRAL H S,Central ISD,Angelina,B,83,B,86,B,83,C,77,403,7,REGION 07: KILGORE,49.1%,High School,/districts/central-isd/central-high-school/
campus,3907004.0,STUBBLEFIELD LRN CTR,STUBBLEFIELD LRN CTR,Central ISD,Angelina,Not rated,.,Not rated,.,Not rated,.,Not rated,.,1,7,REGION 07: KILGORE,0.0%,High School,/districts/central-isd/stubblefield-learning-center/
campus,3907041.0,CENTRAL J H,CENTRAL J H,Central ISD,Angelina,A,91,B,84,B,89,A,94,421,7,REGION 07: KILGORE,56.5%,Middle School,/districts/central-isd/central-junior-high/
campus,3907102.0,CENTRAL EL,CENTRAL EL,Central ISD,Angelina,C,71,C,73,C,75,D,61,640,7,REGION 07: KILGORE,67.0%,Elementary,/districts/central-isd/central-elementary-school/
district,4901.0,ARANSAS COUNTY ISD,,Aransas County ISD,Aransas,B,84,B,81,B,86,C,79,"2,826",2,REGION 02: CORPUS CHRISTI,67.2%,District,/districts/aransas-county-isd/
campus,4901001.0,ROCKPORT-FULTON H S,ROCKPORT-FULTON H S,Aransas County ISD,Aransas,B,89,B,85,A,90,B,86,858,2,REGION 02: CORPUS CHRISTI,56.1%,High School,/districts/aransas-county-isd/rockport-fulton-high-school/
campus,4901041.0,ROCKPORT-FULTON MIDDLE,ROCKPORT-FULTON MIDDLE,Aransas County ISD,Aransas,C,74,C,74,B,80,D,60,648,2,REGION 02: CORPUS CHRISTI,70.8%,Middle School,/districts/aransas-county-isd/rockport-fulton-middle-school/
campus,4901101.0,FULTON LEARNING CENTER,FULTON LEARNING CENTER,Aransas County ISD,Aransas,C,72,C,71,C,73,C,70,649,2,REGION 02: CORPUS CHRISTI,71.2%,Elementary,/districts/aransas-county-isd/fulton-45-learning-center/
campus,4901102.0,DISCOVERY LEARNING CENTER,DISCOVERY LEARNING CENTER,Aransas County ISD,Aransas,C,72,Not rated,.,Not rated,.,Not rated,.,81,2,REGION 02: CORPUS CHRISTI,87.7%,Elementary,/districts/aransas-county-isd/little-bay-primary-school/
campus,4901103.0,LIVE OAK LEARNING CENTER,LIVE OAK LEARNING CENTER,Aransas County ISD,Aransas,C,72,Not rated,.,Not rated,.,Not rated,.,590,2,REGION 02: CORPUS CHRISTI,72.2%,Elementary,/districts/aransas-county-isd/live-oak-13-learning-center/
district,5901.0,ARCHER CITY ISD,,Archer City ISD,Archer,A,94,A,95,A,94,A,93,505,9,REGION 09: WICHITA FALLS,53.5%,District,/districts/archer-city-isd/
campus,5901001.0,ARCHER CITY H S,ARCHER CITY H S,Archer City ISD,Archer,A,94,A,95,A,92,A,90,231,9,REGION 09: WICHITA FALLS,44.2%,High School,/districts/archer-city-isd/archer-city-high-school/
campus,5901101.0,ARCHER CITY EL,ARCHER CITY EL,Archer City ISD,Archer,A,90,A,91,A,91,B,89,274,9,REGION 09: WICHITA FALLS,61.3%,Elementary,/districts/archer-city-isd/archer-city-elementary-school/
district,5902.0,HOLLIDAY ISD,,Holliday ISD,Archer,A,92,A,94,B,87,B,87,"1,046",9,REGION 09: WICHITA FALLS,20.9%,District,/districts/holliday-isd/
campus,5902001.0,HOLLIDAY H S,HOLLIDAY H S,Holliday ISD,Archer,A,92,A,94,B,87,B,87,319,9,REGION 09: WICHITA FALLS,13.2%,High School,/districts/holliday-isd/holliday-high-school/
campus,5902041.0,HOLLIDAY MIDDLE,HOLLIDAY MIDDLE,Holliday ISD,Archer,B,89,A,91,B,80,B,84,249,9,REGION 09: WICHITA FALLS,19.3%,Middle School,/districts/holliday-isd/holliday-middle-school/
campus,5902101.0,HOLLIDAY EL,HOLLIDAY EL,Holliday ISD,Archer,C,79,C,77,B,80,C,77,478,9,REGION 09: WICHITA FALLS,27.0%,Elementary,/districts/holliday-isd/holliday-elementary-school/
district,5904.0,WINDTHORST ISD,,Windthorst ISD,Archer,A,95,A,94,A,91,A,96,403,9,REGION 09: WICHITA FALLS,40.0%,District,/districts/windthorst-isd/
campus,5904001.0,WINDTHORST H S,WINDTHORST H S,Windthorst ISD,Archer,A,94,A,91,B,84,A,100,135,9,REGION 09: WICHITA FALLS,36.3%,High School,/districts/windthorst-isd/windthorst-high-school/
campus,5904041.0,WINDTHORST JH,WINDTHORST JH,Windthorst ISD,Archer,B,88,A,91,B,89,B,80,92,9,REGION 09: WICHITA FALLS,40.2%,Middle School,/districts/windthorst-isd/windthorst-junior-high-school/
campus,5904101.0,WINDTHORST EL,WINDTHORST EL,Windthorst ISD,Archer,A,95,A,93,A,91,A,100,176,9,REGION 09: WICHITA FALLS,42.6%,Elementary,/districts/windthorst-isd/windthorst-elementary-school/
district,6902.0,CLAUDE ISD,,Claude ISD,Armstrong,A,91,A,93,A,91,B,87,358,16,REGION 16: AMARILLO,40.8%,District,/districts/claude-isd/
campus,6902001.0,CLAUDE H S,CLAUDE H S,Claude ISD,Armstrong,B,89,A,91,A,90,B,85,140,16,REGION 16: AMARILLO,32.1%,High School,/districts/claude-isd/claude-high-school/
campus,6902101.0,CLAUDE EL,CLAUDE EL,Claude ISD,Armstrong,B,86,B,86,B,85,B,86,218,16,REGION 16: AMARILLO,46.3%,Elementary,/districts/claude-isd/claude-elementary-school/
district,7901.0,CHARLOTTE ISD,,Charlotte ISD,Atascosa,B,87,B,86,B,89,B,82,469,20,REGION 20: SAN ANTONIO,74.0%,District,/districts/charlotte-isd/
campus,7901001.0,CHARLOTTE H S,CHARLOTTE H S,Charlotte ISD,Atascosa,B,85,B,87,B,85,B,81,145,20,REGION 20: SAN ANTONIO,73.8%,High School,/districts/charlotte-isd/charlotte-high-school/
campus,7901003.0,DISTRICT REASSIGNMENT & OPPORTUNIT,DISTRICT REASSIGNMENT & OPPORTUNIT,Charlotte ISD,Atascosa,Not rated,.,Not rated,.,Not rated,.,Not rated,.,1,20,REGION 20: SAN ANTONIO,100.0%,Middle School,/districts/charlotte-isd/district-reassignment-opportunit/
campus,7901041.0,CHARLOTTE MIDDLE,CHARLOTTE MIDDLE,Charlotte ISD,Atascosa,C,73,C,72,C,77,D,62,127,20,REGION 20: SAN ANTONIO,70.1%,Middle School,/districts/charlotte-isd/charlotte-junior-high-school/
campus,7901101.0,CHARLOTTE EL,CHARLOTTE EL,Charlotte ISD,Atascosa,D,66,D,67,C,70,F,56,196,20,REGION 20: SAN ANTONIO,76.5%,Elementary,/districts/charlotte-isd/charlotte-elementary-school/
district,7902.0,JOURDANTON ISD,,Jourdanton ISD,Atascosa,B,86,B,87,B,89,B,80,"1,606",20,REGION 20: SAN ANTONIO,54.0%,District,/districts/jourdanton-isd/
campus,7902001.0,JOURDANTON H S,JOURDANTON H S,Jourdanton ISD,Atascosa,B,85,B,87,B,85,B,81,417,20,REGION 20: SAN ANTONIO,48.2%,High School,/districts/jourdanton-isd/jourdanton-high-school/
campus,7902005.0,ATASCOSA COUNTY JUVENILE JUSTICE C,ATASCOSA COUNTY JUVENILE JUSTICE C,Jourdanton ISD,Atascosa,Not rated,.,Not rated,.,Not rated,.,Not rated,.,6,20,REGION 20: SAN ANTONIO,33.3%,High School,/districts/jourdanton-isd/atascosa-county-juvenile-justice-center-school/
campus,7902006.0,JOURDANTON DAEP,JOURDANTON DAEP,Jourdanton ISD,Atascosa,Not rated,.,Not rated,.,Not rated,.,Not rated,.,6,20,REGION 20: SAN ANTONIO,66.7%,Elem/Secondary,/districts/jourdanton-isd/reassignment-and-opportunity-cente/
campus,7902041.0,JOURDANTON J H,JOURDANTON J H,Jourdanton ISD,Atascosa,B,85,B,80,B,83,B,89,354,20,REGION 20: SAN ANTONIO,48.9%,Middle School,/districts/jourdanton-isd/jourdanton-junior-high-school/
campus,7902101.0,JOURDANTON EL,JOURDANTON EL,Jourdanton ISD,Atascosa,D,69,C,72,D,69,D,61,823,20,REGION 20: SAN ANTONIO,59.2%,Elementary,/districts/jourdanton-isd/jourdanton-elementary-school/
district,7904.0,LYTLE ISD,,Lytle ISD,Atascosa,C,78,C,75,B,81,C,70,"1,724",20,REGION 20: SAN ANTONIO,74.1%,District,/districts/lytle-isd/
campus,7904001.0,LYTLE H S,LYTLE H S,Lytle ISD,Atascosa,C,77,C,76,B,80,C,70,459,20,REGION 20: SAN ANTONIO,70.8%,High School,/districts/lytle-isd/lytle-high-school/
campus,7904002.0,LYTLE DAEP,LYTLE DAEP,Lytle ISD,Atascosa,Not rated,.,Not rated,.,Not rated,.,Not rated,.,4,20,REGION 20: SAN ANTONIO,50.0%,Elem/Secondary,/districts/lytle-isd/bigfoot-alternative-center/
campus,7904003.0,JJAEP,JJAEP,Lytle ISD,Atascosa,Not rated,.,Not rated,.,Not rated,.,Not rated,.,3,20,REGION 20: SAN ANTONIO,66.7%,High School,/districts/lytle-isd/jjaep/
campus,7904041.0,LYTLE J H,LYTLE J H,Lytle ISD,Atascosa,D,66,D,64,D,69,F,59,399,20,REGION 20: SAN ANTONIO,74.4%,Middle School,/districts/lytle-isd/lytle-junior-high-school/
campus,7904101.0,LYTLE EL,LYTLE EL,Lytle ISD,Atascosa,D,65,D,62,D,67,D,61,491,20,REGION 20: SAN ANTONIO,72.3%,Elementary,/districts/lytle-isd/lytle-elementary-school/
campus,7904103.0,LYTLE PRIMARY SCHOOL,LYTLE PRIMARY SCHOOL,Lytle ISD,Atascosa,D,65,Not rated,.,Not rated,.,Not rated,.,368,20,REGION 20: SAN ANTONIO,80.7%,Elementary,/districts/lytle-isd/lytle-primary-school/
district,7905.0,PLEASANTON ISD,,Pleasanton ISD,Atascosa,B,85,B,84,B,89,C,75,"3,555",20,REGION 20: SAN ANTONIO,62.1%,District,/districts/pleasanton-isd/
