tea_id,name,absolute_url
094902114,Elaine S Schlather Intermediate School,/districts/schertz-cibolo-universal-city-isd/elaine-s-schlather-intermediate-school/
201914004,Elder Coop Alternative School,/districts/west-rusk-isd/elder-coop-alternative-school/
220905044,Elder Middle School,/districts/fort-worth-isd/elder-middle-school/
207901101,Eldorado Elementary School,/districts/schleicher-isd/eldorado-elementary-school/
207901001,Eldorado High School,/districts/schleicher-isd/eldorado-high-school/
207901041,Eldorado Middle School,/districts/schleicher-isd/eldorado-middle-school/
015836001,Eleanor Kolitz Hebrew Language Aca,/districts/eleanor-kolitz-hebrew-language-aca/eleanor-kolitz-hebrew-language-aca/
243902001,Electra High School,/districts/electra-isd/electra-high-school/
014906100,Elementary Alternative Learning Center,/districts/killeen-isd/elementary-alternative-learning-center/
246909102,Elementary DAEP,/districts/round-rock-isd/elementary-daep/
057905241,Elementary DAEP,/districts/dallas-isd/elementary-daep/
068901112,Elementary Magnet Academy at Hays,/districts/ector-county-isd/elementary-magnet-academy-at-hays/
