"District Number",District,"Campus Number",Campus,"ESC Region",Region,County,"School Type","Grades Served","Alternate Education","Number of Students","% Economically Disadvantaged","% LEP Students","Overall Rating *","Overall Score","Student Achievement Rating *","Student Achievement Score","School Progress Rating *","School Progress Score","Academic Growth Rating *","Academic Growth Score","Relative Performance Rating *","Relative Performance Score","Closing the Gaps Rating *","Closing the Gaps Score","Support Label","Public Education Grant","Distinction Reading","Distinction Mathematics","Distinction Science","Distinction Soc Studies","Distinction Progress","Distinction Closing the Gap","Distinction Post-Sec Readiness","US Congress District","TX House District","TX Senate District"
001902,CAYUGA ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,564,42.6%,0.2%,A,94,A,93,A,92,B,84,A,92,A,96,,,,,,,,,Earned,,,
001902,CAYUGA ISD,001902001,CAYUGA H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,179,39.1%,0.0%,A,95,A,93,A,90,A,90,B,88,A,100,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,005,008,003
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,07,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,119,35.3%,0.8%,B,83,B,85,C,79,C,72,C,79,C,79,Targeted Support,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,005,008,003
001902,CAYUGA ISD,001902103,CAYUGA EL,07,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,266,48.1%,0.0%,A,91,A,90,B,87,B,82,B,87,A,94,,,Not Earned,Earned,Not Earned,,Earned,Earned,Earned,005,008,003
001903,ELKHART ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,"1,254",58.1%,2.3%,A,90,A,92,A,91,B,89,A,91,B,85,,,,,,,,,Not Earned,,,
001903,ELKHART ISD,001903001,ELKHART H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,376,49.7%,0.0%,B,89,A,91,B,86,B,85,B,86,B,83,,,Earned,Earned,Earned,Earned,Earned,Not Earned,Not Earned,005,008,003
001903,ELKHART ISD,001903002,ELKHART DAEP,07,REGION 07: KILGORE,ANDERSON,High School,08 - 10,No,2,100.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,005,008,003
001903,ELKHART ISD,001903041,ELKHART MIDDLE,07,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,261,56.7%,0.8%,B,86,B,84,B,87,C,77,B,87,B,85,Targeted Support,,Not Earned,Not Earned,Earned,Earned,Not Earned,Earned,Earned,005,008,003
001903,ELKHART ISD,001903101,ELKHART EL,07,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,338,69.8%,5.3%,A,92,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,005,008,003
001903,ELKHART ISD,001903102,ELKHART INT,07,REGION 07: KILGORE,ANDERSON,Elementary,03 - 05,No,277,56.0%,3.2%,A,92,B,88,A,91,A,91,B,86,A,94,,,Earned,Earned,Earned,,Earned,Earned,Earned,005,008,003
001904,FRANKSTON ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,803,53.7%,2.9%,B,89,A,91,A,91,C,73,A,91,B,84,,,,,,,,,Not Earned,,,
001904,FRANKSTON ISD,001904001,FRANKSTON H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,228,43.4%,0.9%,B,86,B,89,B,85,B,80,B,85,C,79,,,Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,005,008,003
001904,FRANKSTON ISD,001904041,FRANKSTON MIDDLE,07,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,194,50.5%,2.6%,B,84,B,85,B,86,C,74,B,86,B,80,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Earned,Earned,005,008,003
001904,FRANKSTON ISD,001904102,FRANKSTON EL,07,REGION 07: KILGORE,ANDERSON,Elementary,EE - 05,No,381,61.4%,4.2%,C,78,C,78,B,82,D,60,B,82,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,005,008,003
001906,NECHES ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,366,47.8%,1.9%,A,91,A,93,A,93,B,84,A,93,B,86,,,,,,,,,Not Earned,,,
001906,NECHES ISD,001906002,NECHES H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,107,37.4%,0.9%,A,96,A,96,A,93,A,93,A,91,N/R,.,,,Not Earned,Earned,Not Earned,Not Earned,Earned,,Earned,005,008,003
001906,NECHES ISD,001906102,NECHES EL,07,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,259,52.1%,2.3%,C,77,C,78,C,79,C,70,C,79,C,73,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,005,008,003
001907,PALESTINE ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,"3,389",74.9%,17.8%,B,87,B,86,A,91,B,80,A,91,C,79,,,,,,,,,Not Earned,,,
001907,PALESTINE ISD,001907001,PALESTINE H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,984,64.4%,8.6%,B,85,B,87,B,87,B,84,B,87,B,80,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Not Earned,005,008,003
001907,PALESTINE ISD,001907041,PALESTINE J H,07,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,519,74.0%,19.7%,B,85,C,75,B,86,B,86,B,83,B,82,,,Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,Earned,005,008,003
001907,PALESTINE ISD,001907101,NORTHSIDE PRI,07,REGION 07: KILGORE,ANDERSON,Elementary,KG - 01,No,494,79.6%,20.0%,B,82,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,005,008,003
001907,PALESTINE ISD,001907102,WASHINGTON EARLY CHILDHOOD CENTER,07,REGION 07: KILGORE,ANDERSON,Elementary,EE - PK,No,174,100.0%,21.8%,B,82,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,005,008,003
001907,PALESTINE ISD,001907107,SOUTHSIDE EL,07,REGION 07: KILGORE,ANDERSON,Elementary,02 - 03,No,462,77.5%,25.1%,B,82,C,77,B,84,N/R,.,B,84,C,78,Comprehensive Progress,,Not Earned,Earned,,,,Earned,Earned,005,008,003
001907,PALESTINE ISD,001907110,STORY INT,07,REGION 07: KILGORE,ANDERSON,Elementary,04 - 06,No,756,79.0%,21.7%,D,67,D,67,C,70,D,62,C,70,D,60,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,005,008,003
001908,WESTWOOD ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,"1,518",61.5%,5.8%,B,81,B,83,B,85,D,69,B,85,C,73,,,,,,,,,Not Earned,,,
001908,WESTWOOD ISD,001908002,WESTWOOD H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,418,44.7%,3.3%,B,83,B,85,B,81,D,69,B,81,C,77,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,005,008,003
001908,WESTWOOD ISD,001908041,WESTWOOD J H,07,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,237,57.0%,7.6%,C,78,C,70,C,79,C,79,D,63,C,75,Targeted Support,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,005,008,003
001908,WESTWOOD ISD,001908101,WESTWOOD EL,07,REGION 07: KILGORE,ANDERSON,Elementary,02 - 06,No,447,67.8%,6.0%,F,58,D,62,F,59,F,59,F,59,F,48,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,005,008,003
001908,WESTWOOD ISD,001908102,WESTWOOD PRI,07,REGION 07: KILGORE,ANDERSON,Elementary,EE - 02,No,416,74.0%,7.0%,F,58,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,005,008,003
001909,SLOCUM ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,406,45.8%,1.0%,A,91,A,93,A,92,B,80,A,92,B,87,,,,,,,,,Not Earned,,,
001909,SLOCUM ISD,001909001,SLOCUM H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,115,42.6%,1.7%,A,91,A,93,B,89,F,56,B,89,B,85,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Earned,005,008,003
001909,SLOCUM ISD,001909101,SLOCUM PK - 8,07,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,291,47.1%,0.7%,B,82,B,83,B,81,B,80,B,81,C,79,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,Earned,005,008,003
002901,ANDREWS ISD,,,18,REGION 18: MIDLAND,ANDREWS,District,,No,"4,314",41.0%,12.1%,C,79,B,81,C,73,C,70,C,73,C,74,,,,,,,,,Not Earned,,,
002901,ANDREWS ISD,002901001,ANDREWS H S,18,REGION 18: MIDLAND,ANDREWS,High School,08 - 12,No,"1,143",36.0%,7.1%,B,83,B,85,B,80,B,80,C,77,C,77,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,011,081,031
002901,ANDREWS ISD,002901002,ANDREWS EDUCATION CENTER,18,REGION 18: MIDLAND,ANDREWS,High School,09 - 12,Yes,41,56.1%,9.8%,C,74,C,74,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,011,081,031
002901,ANDREWS ISD,002901041,ANDREWS MIDDLE,18,REGION 18: MIDLAND,ANDREWS,Middle School,06 - 08,No,"1,026",39.9%,10.0%,C,70,C,74,D,69,D,69,F,58,D,60,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,011,081,031
002901,ANDREWS ISD,002901101,DEVONIAN EL,18,REGION 18: MIDLAND,ANDREWS,Elementary,02 - 03,No,609,41.7%,15.9%,C,78,C,78,C,72,N/R,.,C,72,C,77,Additional Targeted Support 2018 and 2019,,Not Earned,Not Earned,,,,Not Earned,Not Earned,011,081,031
002901,ANDREWS ISD,002901104,UNDERWOOD EL,18,REGION 18: MIDLAND,ANDREWS,Elementary,04 - 05,No,674,41.1%,12.9%,D,68,C,72,D,67,D,67,F,58,D,60,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,011,081,031
002901,ANDREWS ISD,002901105,CLEARFORK EL,18,REGION 18: MIDLAND,ANDREWS,Elementary,EE - 01,No,821,47.7%,18.4%,C,78,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,011,081,031
003801,PINEYWOODS COMMUNITY ACADEMY,,,07,REGION 07: KILGORE,ANGELINA,District,,No,"1,022",51.0%,4.8%,A,90,A,92,A,91,B,84,A,91,B,85,,,,,,,,,Not Earned,,,
003801,PINEYWOODS COMMUNITY ACADEMY,003801001,PINEYWOODS COMMUNITY ACADEMY H S,07,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,251,37.1%,2.8%,A,93,A,94,A,93,A,93,B,88,A,90,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,001,057,003
003801,PINEYWOODS COMMUNITY ACADEMY,003801042,DR TERRY ROBBINS MIDDLE,07,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,257,52.9%,3.5%,C,79,C,79,B,80,C,72,B,80,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,001,057,003
003801,PINEYWOODS COMMUNITY ACADEMY,003801103,SARAH STRINDEN EL,07,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,No,514,56.8%,6.4%,A,90,A,90,B,89,B,82,B,89,A,90,,,Earned,Earned,Earned,,Not Earned,Earned,Earned,001,057,003
003902,HUDSON ISD,,,07,REGION 07: KILGORE,ANGELINA,District,,No,"2,957",54.4%,6.1%,B,89,B,89,A,93,B,87,A,93,B,87,,,,,,,,,Earned,,,
003902,HUDSON ISD,003902001,HUDSON H S,07,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,838,47.4%,1.6%,A,92,A,94,A,92,B,83,A,92,B,87,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,001,057,003
003902,HUDSON ISD,003902004,STUBBLEFIELD LRN CTR,07,REGION 07: KILGORE,ANGELINA,High School,10 - 12,Yes,14,71.4%,7.1%,D,64,D,64,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003902,HUDSON ISD,003902041,HUDSON MIDDLE,07,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,706,53.5%,5.8%,B,89,A,91,A,91,B,81,A,91,B,85,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,001,057,003
003902,HUDSON ISD,003902101,W F PEAVY PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,758,61.3%,9.0%,B,81,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003902,HUDSON ISD,003902102,W H BONNER EL,07,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,641,56.0%,8.9%,B,81,B,80,B,82,B,80,B,82,C,78,,,Not Earned,Earned,Not Earned,,Not Earned,Not Earned,Not Earned,001,057,003
003903,LUFKIN ISD,,,07,REGION 07: KILGORE,ANGELINA,District,,No,"7,827",77.2%,18.6%,B,89,B,85,A,92,B,80,A,92,B,83,,,,,,,,,Not Earned,,,
003903,LUFKIN ISD,003903001,LUFKIN H S,07,REGION 07: KILGORE,ANGELINA,High School,08 - 12,No,"2,132",67.5%,9.1%,B,87,B,87,A,91,C,72,A,91,C,78,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Earned,001,057,003
003903,LUFKIN ISD,003903004,STUBBLEFIELD LRN CTR,07,REGION 07: KILGORE,ANGELINA,High School,09 - 12,Yes,39,82.1%,10.3%,C,73,C,73,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903044,LUFKIN MIDDLE,07,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,"1,715",73.6%,16.0%,B,83,C,78,B,87,C,72,B,87,C,75,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,001,057,003
003903,LUFKIN ISD,003903120,ANDERSON EL,07,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,258,84.9%,13.2%,B,84,C,76,B,86,B,86,B,84,C,78,,,Not Earned,Not Earned,Earned,,Earned,Earned,Earned,001,057,003
003903,LUFKIN ISD,003903121,BRANDON EL,07,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,407,68.6%,7.9%,B,87,C,77,B,88,B,88,B,83,B,83,,,Earned,Earned,Earned,,Earned,Earned,Earned,001,057,003
003903,LUFKIN ISD,003903122,BROOKHOLLOW EL,07,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,300,86.3%,9.7%,C,73,D,67,C,73,C,72,C,73,C,72,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,001,057,003
003903,LUFKIN ISD,003903123,COSTON EL,07,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,239,92.1%,27.2%,B,86,C,73,A,90,A,90,B,82,C,78,Targeted Support,,Not Earned,Earned,Not Earned,,Earned,Earned,Not Earned,001,057,003
003903,LUFKIN ISD,003903124,DUNBAR PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,361,60.9%,5.5%,B,87,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903125,GARRETT PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,347,97.4%,30.5%,B,89,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903126,HACKNEY PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,227,99.1%,26.9%,B,89,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903127,HERTY PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,269,89.2%,17.1%,B,86,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903128,KURTH PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,PK - 02,No,296,87.2%,12.5%,B,84,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903129,SLACK EL,07,REGION 07: KILGORE,ANGELINA,Elementary,02 - 05,No,551,84.4%,54.4%,C,78,C,71,C,79,C,79,C,77,C,77,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,001,057,003
003903,LUFKIN ISD,003903130,TROUT PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,276,90.2%,10.9%,C,73,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903131,BURLEY PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,400,81.8%,55.8%,C,78,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903141,SPECIAL SERVICES,07,REGION 07: KILGORE,ANGELINA,Elementary,EE - KG,No,3,33.3%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003903,LUFKIN ISD,003903201,JUVENILE DETENT CTR,07,REGION 07: KILGORE,ANGELINA,Elem/Secondary,06 - 11,No,7,100.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003904,HUNTINGTON ISD,,,07,REGION 07: KILGORE,ANGELINA,District,,No,"1,659",56.0%,1.1%,B,89,B,87,A,90,B,84,A,90,B,87,,,,,,,,,Not Earned,,,
003904,HUNTINGTON ISD,003904001,HUNTINGTON H S,07,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,515,46.2%,0.4%,B,88,B,89,B,88,C,73,B,88,B,85,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,001,057,003
003904,HUNTINGTON ISD,003904005,PRIDE ALTER SCH,07,REGION 07: KILGORE,ANGELINA,High School,10 - 12,Yes,15,66.7%,0.0%,C,75,C,75,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003904,HUNTINGTON ISD,003904041,HUNTINGTON MIDDLE,07,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,397,57.4%,0.8%,B,86,B,81,B,84,B,83,B,84,B,89,,,Not Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,001,057,003
003904,HUNTINGTON ISD,003904101,HUNTINGTON EL,07,REGION 07: KILGORE,ANGELINA,Elementary,EE - 03,No,488,62.3%,1.0%,C,71,C,74,C,75,N/R,.,C,75,D,62,Comprehensive Progress,,Not Earned,Not Earned,,,,Not Earned,Not Earned,001,057,003
003904,HUNTINGTON ISD,003904102,HUNTINGTON INT,07,REGION 07: KILGORE,ANGELINA,Elementary,04 - 05,No,244,61.1%,3.3%,B,81,C,76,C,79,C,77,C,79,B,84,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,001,057,003
003905,DIBOLL ISD,,,07,REGION 07: KILGORE,ANGELINA,District,,No,"1,870",78.9%,16.1%,B,87,B,87,A,91,C,79,A,91,C,78,,,,,,,,,Not Earned,,,
003905,DIBOLL ISD,003905001,DIBOLL H S,07,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,499,70.7%,5.4%,B,85,B,88,B,88,D,65,B,88,C,77,Additional Targeted Support 2018 and 2019,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Earned,001,057,003
003905,DIBOLL ISD,003905004,STUBBLEFIELD LRN CTR,07,REGION 07: KILGORE,ANGELINA,High School,11 - 12,Yes,6,0.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003905,DIBOLL ISD,003905041,DIBOLL J H,07,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,429,74.6%,19.3%,B,83,C,78,B,87,C,72,B,87,C,75,,,Not Earned,Earned,Earned,Earned,Not Earned,Earned,Earned,001,057,003
003905,DIBOLL ISD,003905101,H G TEMPLE EL,07,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,382,84.3%,17.5%,B,81,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003905,DIBOLL ISD,003905102,DIBOLL PRI,07,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,165,98.8%,16.4%,B,81,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003905,DIBOLL ISD,003905103,H G TEMPLE INT,07,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,389,81.5%,25.2%,B,81,C,72,B,83,B,83,C,79,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,001,057,003
003906,ZAVALLA ISD,,,07,REGION 07: KILGORE,ANGELINA,District,,No,360,67.5%,0.0%,B,85,B,86,A,90,D,69,A,90,C,73,,,,,,,,,Not Earned,,,
003906,ZAVALLA ISD,003906001,ZAVALLA H S,07,REGION 07: KILGORE,ANGELINA,Elem/Secondary,06 - 12,No,190,63.2%,0.0%,B,82,B,85,B,85,C,72,B,85,C,74,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,001,057,003
003906,ZAVALLA ISD,003906101,ZAVALLA EL,07,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,No,170,72.4%,0.0%,C,76,C,74,B,80,D,69,B,80,D,68,Comprehensive Progress,,Not Earned,Earned,Not Earned,,Not Earned,Not Earned,Not Earned,001,057,003
003907,CENTRAL ISD,,,07,REGION 07: KILGORE,ANGELINA,District,,No,"1,465",59.0%,3.5%,B,89,B,88,B,89,B,85,B,89,B,88,,,,,,,,,Not Earned,,,
003907,CENTRAL ISD,003907001,CENTRAL H S,07,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,403,49.1%,1.2%,B,83,B,86,B,83,C,78,B,83,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,001,057,003
003907,CENTRAL ISD,003907004,STUBBLEFIELD LRN CTR,07,REGION 07: KILGORE,ANGELINA,High School,12 - 12,No,1,0.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,001,057,003
003907,CENTRAL ISD,003907041,CENTRAL J H,07,REGION 07: KILGORE,ANGELINA,Middle School,05 - 08,No,421,56.5%,2.1%,A,91,B,84,B,89,B,89,B,87,A,94,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,001,057,003
003907,CENTRAL ISD,003907102,CENTRAL EL,07,REGION 07: KILGORE,ANGELINA,Elementary,EE - 04,No,640,67.0%,5.9%,C,71,C,73,C,75,F,56,C,75,D,61,Targeted Support,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,001,057,003
004901,ARANSAS COUNTY ISD,,,02,REGION 02: CORPUS CHRISTI,ARANSAS,District,,No,"2,826",67.2%,5.0%,B,84,B,81,B,86,C,76,B,86,C,79,,,,,,,,,Not Earned,,,
004901,ARANSAS COUNTY ISD,004901001,ROCKPORT-FULTON H S,02,REGION 02: CORPUS CHRISTI,ARANSAS,High School,09 - 12,No,858,56.1%,2.7%,B,89,B,85,A,90,A,90,B,83,B,86,,,Not Earned,Earned,Not Earned,Earned,Earned,Earned,Not Earned,027,030,018
004901,ARANSAS COUNTY ISD,004901041,ROCKPORT-FULTON MIDDLE,02,REGION 02: CORPUS CHRISTI,ARANSAS,Middle School,06 - 08,No,648,70.8%,4.9%,C,74,C,74,B,80,D,63,B,80,D,60,Targeted Support,,Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,Earned,027,030,018
004901,ARANSAS COUNTY ISD,004901101,FULTON LEARNING CENTER,02,REGION 02: CORPUS CHRISTI,ARANSAS,Elementary,03 - 05,No,649,71.2%,6.5%,C,72,C,71,C,73,C,72,C,73,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,027,030,018
004901,ARANSAS COUNTY ISD,004901102,DISCOVERY LEARNING CENTER,02,REGION 02: CORPUS CHRISTI,ARANSAS,Elementary,EE - PK,No,81,87.7%,7.4%,C,72,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,027,030,018
004901,ARANSAS COUNTY ISD,004901103,LIVE OAK LEARNING CENTER,02,REGION 02: CORPUS CHRISTI,ARANSAS,Elementary,KG - 02,No,590,72.2%,6.6%,C,72,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,027,030,018
005901,ARCHER CITY ISD,,,09,REGION 09: WICHITA FALLS,ARCHER,District,,No,505,53.5%,1.6%,A,94,A,95,A,94,B,87,A,94,A,93,,,,,,,,,Earned,,,
005901,ARCHER CITY ISD,005901001,ARCHER CITY H S,09,REGION 09: WICHITA FALLS,ARCHER,High School,07 - 12,No,231,44.2%,0.4%,A,94,A,95,A,92,B,84,A,92,A,90,,,Earned,Not Earned,Earned,Earned,Not Earned,Earned,Earned,013,069,030
005901,ARCHER CITY ISD,005901101,ARCHER CITY EL,09,REGION 09: WICHITA FALLS,ARCHER,Elementary,PK - 06,No,274,61.3%,2.6%,A,90,A,91,A,91,C,79,A,91,B,89,,,Earned,Earned,Earned,,Earned,Earned,Earned,013,069,030
005902,HOLLIDAY ISD,,,09,REGION 09: WICHITA FALLS,ARCHER,District,,No,"1,046",20.9%,0.3%,A,92,A,94,B,87,B,87,B,82,B,87,,,,,,,,,Not Earned,,,
005902,HOLLIDAY ISD,005902001,HOLLIDAY H S,09,REGION 09: WICHITA FALLS,ARCHER,High School,09 - 12,No,319,13.2%,0.0%,A,92,A,94,B,87,B,87,C,79,B,87,,,Earned,Earned,Earned,Not Earned,Earned,Not Earned,Not Earned,013,069,030
005902,HOLLIDAY ISD,005902041,HOLLIDAY MIDDLE,09,REGION 09: WICHITA FALLS,ARCHER,Middle School,06 - 08,No,249,19.3%,0.0%,B,89,A,91,B,80,B,80,C,75,B,84,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,013,069,030
005902,HOLLIDAY ISD,005902101,HOLLIDAY EL,09,REGION 09: WICHITA FALLS,ARCHER,Elementary,EE - 05,No,478,27.0%,0.6%,C,79,C,77,B,80,B,80,F,58,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,013,069,030
005904,WINDTHORST ISD,,,09,REGION 09: WICHITA FALLS,ARCHER,District,,No,403,40.0%,6.7%,A,95,A,94,A,91,B,85,A,91,A,96,,,,,,,,,Not Earned,,,
005904,WINDTHORST ISD,005904001,WINDTHORST H S,09,REGION 09: WICHITA FALLS,ARCHER,High School,09 - 12,No,135,36.3%,2.2%,A,94,A,91,B,84,C,73,B,84,A,100,,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,Not Earned,013,069,030
005904,WINDTHORST ISD,005904041,WINDTHORST JH,09,REGION 09: WICHITA FALLS,ARCHER,Middle School,06 - 08,No,92,40.2%,2.2%,B,88,A,91,B,89,C,79,B,89,B,80,,,Not Earned,Earned,Earned,Earned,Not Earned,Not Earned,Earned,013,069,030
